date,Open,High,Low,Close,Volume
2020-05-11 11:02:00,0.75,0.75,0.74,0.7437,37708.0
2020-05-11 11:03:00,0.7478,0.76,0.7449,0.7571,88445.0
2020-05-11 11:04:00,0.7572,0.7597,0.7525,0.7579,67627.0
2020-05-11 11:05:00,0.7573,0.76,0.755,0.7594,99168.0
2020-05-11 11:06:00,0.7595,0.76,0.7535,0.7599,48082.0
2020-05-11 11:07:00,0.76,0.77,0.76,0.76,45176.0
2020-05-11 11:08:00,0.76,0.76,0.7551,0.7597,41632.0
2020-05-11 11:09:00,0.7551,0.7597,0.7551,0.758,17197.0
2020-05-11 11:10:00,0.759,0.759,0.7551,0.757,20836.0
2020-05-11 11:11:00,0.759,0.7596,0.7551,0.7589,29794.0
2020-05-11 11:12:00,0.7589,0.7589,0.75,0.7544,66405.0
2020-05-11 11:13:00,0.7587,0.7587,0.7518,0.7522,38349.0
2020-05-11 11:14:00,0.75,0.7522,0.749,0.7511,56149.0
2020-05-11 11:15:00,0.7522,0.7522,0.7401,0.7428,34983.0
2020-05-11 11:16:00,0.7455,0.7455,0.74,0.741,54098.0
2020-05-11 11:17:00,0.7402,0.752,0.7401,0.7519,77929.0
2020-05-11 11:18:00,0.751,0.7519,0.7402,0.7455,26021.0
2020-05-11 11:19:00,0.7455,0.7519,0.741,0.7505,23681.0
2020-05-11 11:20:00,0.7505,0.7505,0.745,0.75,50294.0
2020-05-11 11:21:00,0.7463,0.75,0.742,0.7485,66788.0
2020-05-11 11:22:00,0.7499,0.7499,0.741,0.7455,30688.0
2020-05-11 11:23:00,0.745,0.7455,0.741,0.7412,14869.0
2020-05-11 11:24:00,0.743,0.75,0.7413,0.7499,33321.0
2020-05-11 11:25:00,0.7437,0.75,0.7412,0.7443,76777.0
2020-05-11 11:26:00,0.7428,0.7461,0.74,0.74,73580.0
2020-05-11 11:27:00,0.741,0.7447,0.73,0.7301,129618.0
2020-05-11 11:28:00,0.7349,0.76,0.7301,0.7463,295430.0
2020-05-11 11:29:00,0.746,0.75,0.74,0.7471,21158.0
2020-05-11 11:30:00,0.7472,0.758,0.7463,0.7579,30266.0
2020-05-11 11:31:00,0.758,0.76,0.7516,0.757,52900.0
2020-05-11 11:32:00,0.757,0.757,0.75,0.755,34192.0
2020-05-11 11:33:00,0.7545,0.755,0.749,0.7522,28837.0
2020-05-11 11:34:00,0.752,0.7535,0.7495,0.7495,18496.0
2020-05-11 11:35:00,0.75,0.7535,0.749,0.7517,29523.0
2020-05-11 11:36:00,0.7518,0.7599,0.75,0.7599,41953.0
2020-05-11 11:37:00,0.7567,0.765,0.7537,0.7649,46369.0
2020-05-11 11:38:00,0.7649,0.7699,0.7607,0.7698,100620.0
2020-05-11 11:39:00,0.7701,0.7817,0.7666,0.7701,129596.0
2020-05-11 11:40:00,0.7702,0.7825,0.7673,0.7747,95352.0
2020-05-11 11:41:00,0.7749,0.7788,0.7731,0.7779,128194.0
2020-05-11 11:42:00,0.778,0.7848,0.775,0.7848,211961.0
2020-05-11 11:43:00,0.79,0.8,0.79,0.8,224437.0
2020-05-11 11:44:00,0.797,0.8,0.792,0.795,182392.0
2020-05-11 11:45:00,0.7923,0.8063,0.7861,0.7968,194021.0
2020-05-11 11:46:00,0.7978,0.8055,0.7974,0.7982,137458.0
2020-05-11 11:47:00,0.7976,0.8065,0.7975,0.8039,306385.0
2020-05-11 11:48:00,0.8065,0.8065,0.8002,0.8003,185774.0
2020-05-11 11:49:00,0.8003,0.806,0.8,0.8031,142953.0
2020-05-11 11:50:00,0.8006,0.806,0.8005,0.805,55450.0
2020-05-11 11:51:00,0.805,0.805,0.801,0.8031,83873.0
2020-05-11 11:52:00,0.8032,0.8039,0.8,0.8,103206.0
2020-05-11 11:53:00,0.8002,0.8017,0.79,0.79,145570.0
2020-05-11 11:54:00,0.79,0.7939,0.788,0.79,285430.0
2020-05-11 11:55:00,0.79,0.79,0.788,0.789,42912.0
2020-05-11 11:56:00,0.7885,0.7975,0.7885,0.7975,25370.0
2020-05-11 11:57:00,0.8,0.8,0.7939,0.8,62787.0
2020-05-11 11:58:00,0.8,0.8,0.795,0.795,38347.0
2020-05-11 11:59:00,0.794,0.7987,0.7891,0.7962,48890.0
2020-05-11 12:00:00,0.8,0.8,0.79,0.79,26934.0
2020-05-11 12:01:00,0.79,0.795,0.788,0.79,77180.0
2020-05-11 12:02:00,0.7918,0.792,0.787,0.788,73941.0
2020-05-11 12:03:00,0.7875,0.7881,0.786,0.788,46374.0
2020-05-11 12:04:00,0.7881,0.7881,0.7861,0.7876,23743.0
2020-05-11 12:05:00,0.7875,0.788,0.7875,0.7875,18371.0
2020-05-11 12:06:00,0.79,0.79,0.79,0.79,86220.0
2020-05-11 12:07:00,0.788,0.788,0.7845,0.7876,14647.0
